number moves made,solving time,number seen states,max_queue_size
21,0.6303920745849609,702,142
21,0.7213408946990967,696,145
21,0.7566053867340088,699,142
21,0.6417901515960693,696,142
21,0.6284599304199219,694,142
21,0.6025891304016113,703,142
21,0.6031680107116699,698,145
21,0.5971219539642334,703,145
21,0.5958859920501709,697,142
21,0.5938339233398438,701,143
21,0.5941109657287598,695,142
21,0.6367077827453613,701,142
21,0.6327941417694092,695,142
21,0.5926690101623535,699,142
21,0.5906870365142822,694,146
21,0.5899980068206787,694,143
21,0.5950510501861572,694,142
21,0.5938382148742676,699,143
21,0.5946788787841797,696,145
21,0.606961727142334,697,142
21,0.6027951240539551,702,150
21,0.6013472080230713,705,142
21,0.5953199863433838,701,146
21,0.5905027389526367,696,142
21,0.5927679538726807,703,142
21,0.5895318984985352,694,142
21,0.5902462005615234,696,146
21,0.5962362289428711,694,142
21,0.5969462394714355,708,142
21,0.590440034866333,695,142
21,0.5937948226928711,694,144
21,0.6006851196289062,698,145
21,0.5932338237762451,698,142
21,0.5902450084686279,697,142
21,0.5904421806335449,695,144
21,0.5912377834320068,697,146
21,0.6048648357391357,694,142
21,0.5928966999053955,697,143
21,0.590142011642456,694,142
21,0.5931789875030518,694,142
21,0.6051959991455078,697,142
21,0.5973019599914551,694,145
21,0.5968081951141357,702,142
21,0.6030170917510986,703,144
21,0.596707820892334,699,142
21,0.5926151275634766,696,142
21,0.5933291912078857,698,142
21,0.5941817760467529,698,145
21,0.5908129215240479,697,142
21,0.5916411876678467,697,145
21,0.5952630043029785,696,149
21,0.6258518695831299,694,142
21,0.6204469203948975,694,145
21,0.7849650382995605,694,142
21,0.787639856338501,703,142
21,0.7445647716522217,703,144
21,0.6221218109130859,712,142
21,0.598613977432251,699,142
21,0.6003279685974121,699,146
21,0.5920100212097168,694,142
21,0.609544038772583,694,149
21,0.5988481044769287,695,147
21,0.5937700271606445,703,142
21,0.5907831192016602,694,142
21,0.5931088924407959,694,144
21,0.6008129119873047,694,143
21,0.5927169322967529,694,143
21,0.5973291397094727,704,142
21,0.6033458709716797,701,143
21,0.6607580184936523,695,142
21,0.6082570552825928,697,147
21,0.5947527885437012,694,143
21,0.5918481349945068,695,145
21,0.5896041393280029,694,150
21,0.5953829288482666,704,143
21,0.5933289527893066,698,143
21,0.5968081951141357,694,143
21,0.592083215713501,700,142
21,0.5893850326538086,694,147
21,0.5918679237365723,697,142
21,0.5943698883056641,703,144
21,0.6070489883422852,695,143
21,0.5947558879852295,694,142
21,0.5901720523834229,694,143
21,0.5982561111450195,697,142
21,0.5934760570526123,702,143
21,0.5955610275268555,694,145
21,0.5922110080718994,694,143
21,0.5954399108886719,701,144
21,0.594580888748169,694,146
21,0.5996778011322021,703,142
21,0.5958387851715088,698,144
21,0.5971529483795166,694,144
21,0.592473030090332,696,147
21,0.5946667194366455,700,143
21,0.5933868885040283,696,149
21,0.590935230255127,694,146
21,0.5954408645629883,699,150
21,0.5932221412658691,698,144
21,0.5915887355804443,697,142
21,0.603952169418335,703,142
21,0.5931320190429688,694,143
21,0.6124229431152344,702,143
21,0.5944550037384033,698,148
21,0.601121187210083,694,148
21,0.5939788818359375,697,142
21,0.594008207321167,696,142
21,0.6001300811767578,702,143
21,0.603550910949707,697,145
21,0.591804027557373,697,142
21,0.5920150279998779,697,148
21,0.5922448635101318,698,142
21,0.5886800289154053,694,143
21,0.5929758548736572,698,142
21,0.6060500144958496,694,147
21,0.7325468063354492,694,144
21,0.6104021072387695,694,144
21,0.5915970802307129,694,144
21,0.5924239158630371,696,150
21,0.5989930629730225,702,143
21,0.601111888885498,694,150
21,0.730518102645874,694,142
21,0.635113000869751,694,145
21,0.6855998039245605,710,143
21,0.6175758838653564,694,142
21,0.6133980751037598,709,142
21,0.6379399299621582,694,147
21,0.5959117412567139,696,147
21,0.7465341091156006,698,142
21,0.6466119289398193,697,142
21,0.5930047035217285,696,142
21,0.6170423030853271,698,142
21,0.610450029373169,701,142
21,0.6063497066497803,694,145
21,0.8103420734405518,699,143
21,0.8116359710693359,699,143
21,0.8007419109344482,700,143
21,1.0561699867248535,697,142
21,0.6628768444061279,696,146
21,0.829463005065918,706,142
21,0.6129348278045654,694,142
21,0.6036648750305176,695,145
21,0.6024298667907715,700,146
21,0.6673531532287598,697,142
21,0.6046159267425537,702,143
21,0.6002838611602783,694,145
21,0.6680519580841064,694,143
21,0.6743390560150146,696,142
21,0.6061408519744873,694,145
21,0.5920348167419434,695,144
21,0.5920529365539551,697,142
21,0.5957262516021729,697,145
21,0.5938701629638672,695,143
21,0.593778133392334,697,142
21,0.5948030948638916,695,145
21,0.5902600288391113,694,147
21,0.6037588119506836,701,148
21,0.5956981182098389,704,142
21,0.6045897006988525,699,147
21,0.5932469367980957,694,142
21,0.5944900512695312,698,144
21,0.6279668807983398,694,143
21,0.6014318466186523,694,142
21,0.6021592617034912,694,144
21,0.6008090972900391,696,142
21,0.5960638523101807,705,142
